address,eth_volume,stablecoins_volume,num_of_txs
0x76f69dcddd0593b0aff5fd3280c3433ddb68e0d2,0.323462,0.0,22
0x5a756d9c7caa740e0342f755fa8ad32e6f83726b,12.748878032181496,8958.0,824
0x4820deb7bbf154739af8e446032b2647f3efcaf9,2.2336978173217314,27.0,42
0x7cd5de707b57a3fdda92807a41af7f4c3fd8aafc,0.0228,209.0,26
0xe40c36d9d60c3b63be3c461913f55cee60772a73,0.0590447262259444,0.0,4
0xdf145e07ebd067d97cdd4ecd646b2d6e6c1827a8,0.07562779,0.0,12
0x04cd9cc35601bb748cbc98b549545f44068cddeb,31.85623027940394,9193.0,385
0xac17740f91f53f6c5298003910aa25597a330c74,0.35652445813089584,0.0,63
0x107e60e09c1b9399c2f9c51051051acc2d5db0db,7.540359134854302,625.0,1245
0x0349b10a1a14384472e0b77c00355f4c434218c1,3.7488814439104248,475.0,198
0x9b41779051bc8d4904da2e1312cea8a8dc6cfa66,0.0228,203.0,26
0x2349221af6d23b178b385a097700be4dba89ca24,0.6152644358359918,0.0,177
0x33b2b6c70ffcde4e6db38cbc6c62e13e6b6282e0,0.3203163231636031,0,37
0x8A56c00320042a4b5D8519928a424917829642B1,15.923451743049464,549.0,296
0x481a5c21d909826f21441214902158e36ab908d6,0.31872903389097096,0,36
0x7508bbfc821656b23a2db9bdab0bae8b52cd12dc,14.399067572348798,12870.0,246
0x1d80767d1c03286843212076333d8252f2044b16,451.1010397985681,79861.0,2321
0x76a45e6a43353bb15ba6c7ccc68e009ec07c5d60,16.435223065563804,81.0,148
0x966d8e882351d37f87d9f3818e6ebaf1787dfc8c,6.084577279045307,13397.0,45
0x35b022ae795077f96dbb24ec87a0d8ca3c52b0b8,0.05496227000000001,4359.0,41
0xa778ca38cb01fa0e1a6a616dbc17b08da5b16372,2.035646973356643,0.0,32
0x3e5c7977e9370ade7d8424406017c6e280560948,0.2745158444853468,173.0,196
0x554b1bfb3508e4a27151f7d0fe6520c56bd37e9f,2.2697830087216087,0.0,41
0x7e651f5f597436cd0fa941f5ff2cd45ef3f2fda8,21.146165368793262,60098.0,227
0x7fbde8b27d2b4f164b66f2a9dc02bbd6697e5b19,23.976917446106388,3699.0,87
0xb967688619d045b4feb7134ab9a72e66bb900f11,2.800001967291278,9480.0,201
0x1d7b2310659850931053ad6fb53add567f99d5c0,61.06560804196041,334028.0,676
0x71d8e8b2a0098869d60793a2af743e414da22b46,17.831885001082888,13522.0,1054
0xca8ca9c71aaa3ff061328c635207fe99cdf97adf,6.089138261642242,0.0,100
0xe8332043e54a2470e148f0c1ac0af188d9d46524,140.67965122515477,66615.0,717
0x560dcb016e60aba833a5b4f8f1f379518d357f79,33.316216763150635,21266.0,186
0xd9023b28ba7f7b4a35e4badf3849ebf7f3324402,4.956695430403521,0.0,99
0x4f1efe177057db679a7cbe1cf92acf2ad5b7aa74,8.077485262878543,6676.0,194
0x00324d6fdbaa17b1a5256f396319d513aefbbacf,8.906781050105955,355159.0,242
0xcc54b6b6ac07062b68dde88f3b5e3a2d68428be1,9.036752381802815,6124.0,38
0x2410a2e203de08bf48e4467ece6eb44afdccfa8e,9.204316983255957,6109.0,40
0x888f1e9e93a4dee52ea9806d1b93b06eb3772730,0.055479571220228965,0,5
0xec509912c20f32bf9fd396eb64b2d6d27ab1744a,0.053862787628776,0,5
0x7961bfcb447c58fb6c87abea8feae28b3a0bfb41,2.45717685563264,13819.0,120
0x3e32be399d27bc4773e5a24942d79d4eb8548b48,0.05517160478726889,0,5
0xc29fc038cd055842d466281f609c319bde595017,262.0635628854641,386909.0,759
0x070f52aa30e117224419b085b70aee570c18acd6,0.02009,0,9
0x14a4e179f124960039e9936519c3a1f62b8f6355,94.97734626550084,805.0,726
0x52f9cb7a8a824a5505909df57ca3a26079b61d02,5.6728129923,0.0,29
0xa07dde14225873223bae1e54e21fe1e6c471401c,10.76087616843605,7737.0,73
0x31bd6af657bb43b0a018690f9dfb9cba681aa8e7,1.083447345110163,0.0,32
0x75581af09a152f6f3df229aa1946a96d747ab151,0.03738362342130984,0,2
0x9d062bd94be90ca9fa542a5190195bc9134eacad,0.4494433833199663,0,31
0xea59235332913ea6dd33dbe7c58ba066a7c7c5a1,15.346544231841959,5746.0,76
0xa972836f256533a8f39661d6c061c3211c80cbb0,30.80851525098622,20022.0,412
0xe7cdd6583b674af8d10b89899b134c41846da0bf,14.237792859880537,104.0,751
0xcb3f77d06ca7c617161abf6d18c92448d25242c0,0.010366623252670001,0,3
0x3ffd18966749873d757849a0d8bd667d41b4e1aa,0.010395524009176,0,3
0xd979d4150c9edf10b7498f77b0aea0ec4249965c,0.010368524009176,0,3
0xdceeaa70c8f58c4b9e380c6a0e4bd251c8b8bab3,0.07178153008512923,0.0,12
0xdbf84cb641e4b5a7878e8dfb3a081df70ae1f7f9,1.504160593472808,0,18
0xb8b4968395a3381173c3d7758c85f17979e5fd5a,10.940671965323208,7090.0,103
0xb91c2bdfd31c59bbe2916158cdc8cbf5db365b3a,0.01064563454317,0,3
0xb53cfe2b6dc10ed6e2b2c87b2f15bae10e7b2697,0.010543499988427001,0,3
0xce4ec088caff86835cb0273e9f82aca36c452d07,3.4162341229494966,2120.0,53
0x5357dcc9bd97173578ee097017e85f4d637def79,0.7113065324507967,0,14
0x2214ca234ae9d6efdba8812387256950e5d23e5f,1.2790974861682884,0,18
0x691a55312f0bcac696558f4bd0d4d12364a03a21,0.85442303,6483.0,22
0x345ab555bc92f046a0e20b2b5db884658e2824ea,2.75949,7500.0,7
0x7dc086ece04402f370a4a8a99556032c1fce9a03,0.01234416,147.0,38
0x93f2316f54bf1d962f007f23c382717ebc4d1762,13.635355139181954,17225.0,290
0xf596e977116c9964055FfA47d192F8d50aB8C51B,1.7051423605570755,0.0,19
0x0645b87d9da24a42fa73234555df93486c184cb0,1.292326114764787,0,10
0x6046d412b45dace6c963c7c3c892ad951ec97e57,337.3896382235402,181349.0,3543
0x38e4f745d85077976aab2b7d0c3da101024165b8,192.44047950844052,39930.0,1480
0xf00c9aca79cb0ff39dc7466c1dcc2840fdd93f6d,19.58502707746841,17721.0,118
0x29c3e6edc2385c4f85248b8b7e43cce8dcd6bd78,20.497880000000002,85.0,81
0x45cd7a4da710c5faac1f385ae1d60ebb417a9604,0.6161484252096434,0,9
0x56e508875b1d877778f23ec37c0a17a5d9392f83,0.4103937065619526,105.0,173
0x22baac1e95efc010e35d5ed643bb16c9db254a11,0.29635727419222924,0,24
0x7e4cab656162c16a2326c7b008c9cee2f978af5c,92.06893039623793,101.0,507
0xe167f6f92ac5823717637b2cd481b9c72507006d,0.305072,5200.0,55
0x871f10499b89dc87801f53e484f3f49138ea465d,0.1126,46278.0,8
0x63fdb65cca5a9e66b7f8d925758cb935281b0ad2,17.92481508407263,243584.0,769
0x9903704a3ab7ffb3b4c3b216f44198449e4200da,0.236838,387764.0,35
